O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	2.D.1	Required Level of Education	RL	1	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	2	4.46	28	4.1428	0.6307	25.5524	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	3	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	4	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	5	5.15	28	5.2236	0.6000	32.7756	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	6	32.29	28	12.7266	12.6247	61.1586	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	7	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	8	45.91	28	16.6480	17.6593	77.0570	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	9	3.94	28	4.0634	0.4511	27.0734	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	10	0.55	28	0.5831	0.0637	4.6529	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	11	4.92	28	4.7695	0.6342	29.5426	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	12	2.78	28	2.7428	0.3548	18.6644	N	08/2023	Incumbent
11-1011.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.01	28	0.2773	2.4454	3.5834	N	08/2023	Incumbent
11-1011.03	2.D.1	Required Level of Education	RL	1	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	2	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	3	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	4	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	5	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	6	18.52	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	7	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	8	74.07	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	9	7.41	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	10	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	11	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	12	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.4.a	Job-Related Professional Certification	IM	n/a	2.70	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1021.00	2.D.1	Required Level of Education	RL	1	10.35	28	7.6848	2.0646	38.7124	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	2	28.76	28	11.3910	11.4276	55.8159	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	3	5.72	28	5.6980	0.6906	34.6394	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	4	21.59	28	11.0866	6.7027	51.3506	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	5	5.99	28	5.8141	0.7609	34.6341	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	6	27.30	28	10.5201	11.2316	52.6984	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	7	0.14	28	0.1380	0.0167	1.0888	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	8	0.15	28	0.1576	0.0191	1.2422	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	9	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	10	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	11	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	12	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1021.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	1.88	28	0.2508	1.3704	2.3996	N	08/2023	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	1	6.16	27	5.8830	0.8030	34.7229	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	2	9.82	27	5.9417	2.6660	30.1917	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	3	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	4	7.67	27	5.3186	1.7443	28.0021	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	5	8.04	27	5.4789	1.8701	28.6249	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	6	60.02	27	9.9779	38.9731	77.9195	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	7	2.42	27	2.4071	0.3051	16.7618	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	8	5.87	27	4.1933	1.2953	22.8803	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	9	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	10	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	11	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	12	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	1.98	23	0.2188	1.5213	2.4288	N	08/2018	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	1	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	2	3.53	37	3.5620	0.4361	23.3951	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	3	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	4	2.80	37	2.0719	0.6128	11.8824	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	5	3.03	37	2.0620	0.7458	11.4833	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	6	55.76	37	16.9574	23.8203	83.5595	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	7	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	8	24.36	37	9.6023	10.0622	48.0946	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	9	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	10	10.52	37	8.9995	1.6635	44.9712	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	11	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	12	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	1	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	2	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	3	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	4	19.05	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	5	4.76	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	6	71.43	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	7	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	8	4.76	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	9	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	10	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	11	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	12	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	1.62	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2033.00	2.D.1	Required Level of Education	RL	1	0.00	19	0.0000	n/a	n/a	N	08/2025	Incumbent
11-2033.00	2.D.1	Required Level of Education	RL	2	0.00	19	0.0000	n/a	n/a	N	08/2025	Incumbent
11-2033.00	2.D.1	Required Level of Education	RL	3	0.00	19	0.0000	n/a	n/a	N	08/2025	Incumbent
11-2033.00	2.D.1	Required Level of Education	RL	4	19.65	19	16.9674	2.4934	70.0457	Y	08/2025	Incumbent
11-2033.00	2.D.1	Required Level of Education	RL	5	3.93	19	4.5932	0.3177	34.4798	N	08/2025	Incumbent
11-2033.00	2.D.1	Required Level of Education	RL	6	65.49	19	18.5953	25.1986	91.4426	Y	08/2025	Incumbent
11-2033.00	2.D.1	Required Level of Education	RL	7	0.00	19	0.0000	n/a	n/a	N	08/2025	Incumbent
11-2033.00	2.D.1	Required Level of Education	RL	8	10.93	19	7.4357	2.4079	37.9113	N	08/2025	Incumbent
11-2033.00	2.D.1	Required Level of Education	RL	9	0.00	19	0.0000	n/a	n/a	N	08/2025	Incumbent
11-2033.00	2.D.1	Required Level of Education	RL	10	0.00	19	0.0000	n/a	n/a	N	08/2025	Incumbent
11-2033.00	2.D.1	Required Level of Education	RL	11	0.00	19	0.0000	n/a	n/a	N	08/2025	Incumbent
11-2033.00	2.D.1	Required Level of Education	RL	12	0.00	19	0.0000	n/a	n/a	N	08/2025	Incumbent
11-2033.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	1.50	19	0.1507	1.1845	1.8179	N	08/2025	Incumbent
11-3012.00	2.D.1	Required Level of Education	RL	1	0.00	45	0.0000	n/a	n/a	N	07/2017	Incumbent
11-3012.00	2.D.1	Required Level of Education	RL	2	33.56	45	14.3476	12.1309	64.8795	N	07/2017	Incumbent
11-3012.00	2.D.1	Required Level of Education	RL	3	13.16	45	6.1415	4.8797	30.9207	N	07/2017	Incumbent
11-3012.00	2.D.1	Required Level of Education	RL	4	13.18	45	6.4728	4.6284	32.1877	N	07/2017	Incumbent
11-3012.00	2.D.1	Required Level of Education	RL	5	11.84	45	5.3593	4.5551	27.4302	N	07/2017	Incumbent
11-3012.00	2.D.1	Required Level of Education	RL	6	24.28	45	8.7153	10.9819	45.4639	N	07/2017	Incumbent
11-3012.00	2.D.1	Required Level of Education	RL	7	0.00	45	0.0000	n/a	n/a	N	07/2017	Incumbent
11-3012.00	2.D.1	Required Level of Education	RL	8	3.87	45	2.3439	1.1157	12.5372	N	07/2017	Incumbent
11-3012.00	2.D.1	Required Level of Education	RL	9	0.06	45	0.0617	0.0074	0.4795	N	07/2017	Incumbent
11-3012.00	2.D.1	Required Level of Education	RL	10	0.00	45	0.0000	n/a	n/a	N	07/2017	Incumbent
11-3012.00	2.D.1	Required Level of Education	RL	11	0.06	45	0.0617	0.0074	0.4795	N	07/2017	Incumbent
11-3012.00	2.D.1	Required Level of Education	RL	12	0.00	45	0.0000	n/a	n/a	N	07/2017	Incumbent
11-3013.00	2.D.1	Required Level of Education	RL	1	0.00	32	0.0000	n/a	n/a	N	08/2024	Incumbent
11-3013.00	2.D.1	Required Level of Education	RL	2	14.59	32	7.3592	4.8695	36.2919	N	08/2024	Incumbent
11-3013.00	2.D.1	Required Level of Education	RL	3	9.36	32	5.2948	2.8122	26.9415	N	08/2024	Incumbent
11-3013.00	2.D.1	Required Level of Education	RL	4	11.30	32	5.6857	3.8483	28.8319	N	08/2024	Incumbent
11-3013.00	2.D.1	Required Level of Education	RL	5	57.34	32	12.3743	32.3842	79.0385	N	08/2024	Incumbent
11-3013.00	2.D.1	Required Level of Education	RL	6	7.06	32	3.8640	2.2347	20.1575	N	08/2024	Incumbent
11-3013.00	2.D.1	Required Level of Education	RL	7	0.18	32	0.1862	0.0220	1.4654	N	08/2024	Incumbent
11-3013.00	2.D.1	Required Level of Education	RL	8	0.18	32	0.1862	0.0220	1.4654	N	08/2024	Incumbent
11-3013.00	2.D.1	Required Level of Education	RL	9	0.00	32	0.0000	n/a	n/a	N	08/2024	Incumbent
11-3013.00	2.D.1	Required Level of Education	RL	10	0.00	32	0.0000	n/a	n/a	N	08/2024	Incumbent
11-3013.00	2.D.1	Required Level of Education	RL	11	0.00	32	0.0000	n/a	n/a	N	08/2024	Incumbent
11-3013.00	2.D.1	Required Level of Education	RL	12	0.00	32	0.0000	n/a	n/a	N	08/2024	Incumbent
11-3013.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	2.78	33	0.2656	2.2355	3.3176	N	08/2024	Incumbent
11-3013.01	2.D.1	Required Level of Education	RL	1	0.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	2.D.1	Required Level of Education	RL	2	0.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	2.D.1	Required Level of Education	RL	3	5.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	2.D.1	Required Level of Education	RL	4	0.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	2.D.1	Required Level of Education	RL	5	10.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	2.D.1	Required Level of Education	RL	6	70.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	2.D.1	Required Level of Education	RL	7	0.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	2.D.1	Required Level of Education	RL	8	15.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	2.D.1	Required Level of Education	RL	9	0.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	2.D.1	Required Level of Education	RL	10	0.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	2.D.1	Required Level of Education	RL	11	0.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	2.D.1	Required Level of Education	RL	12	0.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3013.01	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.50	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-3021.00	2.D.1	Required Level of Education	RL	1	0.00	26	0.0000	n/a	n/a	N	07/2016	Incumbent
11-3021.00	2.D.1	Required Level of Education	RL	2	1.26	26	1.3040	0.1467	9.9608	N	07/2016	Incumbent
11-3021.00	2.D.1	Required Level of Education	RL	3	5.77	26	5.7846	0.6800	35.3899	N	07/2016	Incumbent
11-3021.00	2.D.1	Required Level of Education	RL	4	25.96	26	15.1556	6.4646	64.0123	N	07/2016	Incumbent
11-3021.00	2.D.1	Required Level of Education	RL	5	2.16	26	1.6643	0.4359	10.0459	N	07/2016	Incumbent
11-3021.00	2.D.1	Required Level of Education	RL	6	47.68	26	17.0585	18.2258	78.8440	N	07/2016	Incumbent
11-3021.00	2.D.1	Required Level of Education	RL	7	2.80	26	2.8780	0.3263	20.2551	N	07/2016	Incumbent
11-3021.00	2.D.1	Required Level of Education	RL	8	14.36	26	10.1865	2.9565	48.0057	N	07/2016	Incumbent
11-3021.00	2.D.1	Required Level of Education	RL	9	0.00	26	0.0000	n/a	n/a	N	07/2016	Incumbent
11-3021.00	2.D.1	Required Level of Education	RL	10	0.00	26	0.0000	n/a	n/a	N	07/2016	Incumbent
11-3021.00	2.D.1	Required Level of Education	RL	11	0.00	26	0.0000	n/a	n/a	N	07/2016	Incumbent
11-3021.00	2.D.1	Required Level of Education	RL	12	0.00	26	0.0000	n/a	n/a	N	07/2016	Incumbent
11-3031.00	2.D.1	Required Level of Education	RL	1	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3031.00	2.D.1	Required Level of Education	RL	2	14.24	17	10.0015	2.8418	48.5174	N	08/2022	Incumbent
11-3031.00	2.D.1	Required Level of Education	RL	3	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3031.00	2.D.1	Required Level of Education	RL	4	4.56	17	4.8580	0.4449	33.7679	N	08/2022	Incumbent
11-3031.00	2.D.1	Required Level of Education	RL	5	3.90	17	4.4191	0.3311	33.1023	N	08/2022	Incumbent
11-3031.00	2.D.1	Required Level of Education	RL	6	56.31	17	7.3020	40.7241	70.7451	N	08/2022	Incumbent
11-3031.00	2.D.1	Required Level of Education	RL	7	21.00	17	13.0856	4.7548	58.5932	N	08/2022	Incumbent
11-3031.00	2.D.1	Required Level of Education	RL	8	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3031.00	2.D.1	Required Level of Education	RL	9	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3031.00	2.D.1	Required Level of Education	RL	10	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3031.00	2.D.1	Required Level of Education	RL	11	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3031.00	2.D.1	Required Level of Education	RL	12	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3031.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.20	17	0.3806	2.3926	4.0064	N	08/2022	Incumbent
11-3031.01	2.D.1	Required Level of Education	RL	1	0.00	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	2.D.1	Required Level of Education	RL	2	0.00	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	2.D.1	Required Level of Education	RL	3	0.00	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	2.D.1	Required Level of Education	RL	4	0.00	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	2.D.1	Required Level of Education	RL	5	4.00	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	2.D.1	Required Level of Education	RL	6	56.00	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	2.D.1	Required Level of Education	RL	7	4.00	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	2.D.1	Required Level of Education	RL	8	32.00	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	2.D.1	Required Level of Education	RL	9	0.00	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	2.D.1	Required Level of Education	RL	10	4.00	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	2.D.1	Required Level of Education	RL	11	0.00	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	2.D.1	Required Level of Education	RL	12	0.00	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.01	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.52	25	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
11-3031.03	2.D.1	Required Level of Education	RL	1	0.00	25	0.0000	n/a	n/a	N	07/2014	Incumbent
11-3031.03	2.D.1	Required Level of Education	RL	2	0.00	25	0.0000	n/a	n/a	N	07/2014	Incumbent
11-3031.03	2.D.1	Required Level of Education	RL	3	0.00	25	0.0000	n/a	n/a	N	07/2014	Incumbent
11-3031.03	2.D.1	Required Level of Education	RL	4	0.00	25	0.0000	n/a	n/a	N	07/2014	Incumbent
11-3031.03	2.D.1	Required Level of Education	RL	5	0.00	25	0.0000	n/a	n/a	N	07/2014	Incumbent
11-3031.03	2.D.1	Required Level of Education	RL	6	32.66	25	13.0514	12.4743	62.2746	N	07/2014	Incumbent
11-3031.03	2.D.1	Required Level of Education	RL	7	0.00	25	0.0000	n/a	n/a	N	07/2014	Incumbent
11-3031.03	2.D.1	Required Level of Education	RL	8	63.33	25	12.7575	35.7219	84.2915	N	07/2014	Incumbent
11-3031.03	2.D.1	Required Level of Education	RL	9	2.01	25	2.0273	0.2427	14.6814	N	07/2014	Incumbent
11-3031.03	2.D.1	Required Level of Education	RL	10	2.01	25	2.0273	0.2427	14.6814	N	07/2014	Incumbent
11-3031.03	2.D.1	Required Level of Education	RL	11	0.00	25	0.0000	n/a	n/a	N	07/2014	Incumbent
11-3031.03	2.D.1	Required Level of Education	RL	12	0.00	25	0.0000	n/a	n/a	N	07/2014	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	1	5.26	33	5.2030	0.6564	31.7838	N	08/2021	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	2	29.42	33	9.3469	14.2857	51.0477	N	08/2021	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	3	16.21	33	7.4543	5.9491	37.1738	N	08/2021	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	4	11.51	33	7.8627	2.6285	38.5277	N	08/2021	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	5	8.10	33	5.7824	1.7800	30.0139	N	08/2021	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	6	25.80	33	9.9630	10.7535	50.0952	N	08/2021	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	7	2.45	33	2.4962	0.2984	17.4088	N	08/2021	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	8	1.24	33	1.2469	0.1591	9.0546	N	08/2021	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	9	0.00	33	0.0000	n/a	n/a	N	08/2021	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	10	0.00	33	0.0000	n/a	n/a	N	08/2021	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	11	0.00	33	0.0000	n/a	n/a	N	08/2021	Incumbent
11-3051.00	2.D.1	Required Level of Education	RL	12	0.00	33	0.0000	n/a	n/a	N	08/2021	Incumbent
11-3051.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	1.66	34	0.1624	1.3274	1.9882	N	08/2021	Incumbent
11-3051.01	2.D.1	Required Level of Education	RL	1	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3051.01	2.D.1	Required Level of Education	RL	2	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3051.01	2.D.1	Required Level of Education	RL	3	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3051.01	2.D.1	Required Level of Education	RL	4	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3051.01	2.D.1	Required Level of Education	RL	5	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3051.01	2.D.1	Required Level of Education	RL	6	100.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3051.01	2.D.1	Required Level of Education	RL	7	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3051.01	2.D.1	Required Level of Education	RL	8	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3051.01	2.D.1	Required Level of Education	RL	9	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3051.01	2.D.1	Required Level of Education	RL	10	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3051.01	2.D.1	Required Level of Education	RL	11	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3051.01	2.D.1	Required Level of Education	RL	12	0.00	17	0.0000	n/a	n/a	N	08/2022	Incumbent
11-3051.01	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.00	17	0.2438	2.4813	3.5148	N	08/2022	Incumbent
11-3051.02	2.D.1	Required Level of Education	RL	1	0.00	20	0.0000	n/a	n/a	N	07/2011	Incumbent
11-3051.02	2.D.1	Required Level of Education	RL	2	11.15	20	7.2391	2.6458	36.6782	N	07/2011	Incumbent
11-3051.02	2.D.1	Required Level of Education	RL	3	18.91	20	9.3151	6.1366	45.4020	N	07/2011	Incumbent
11-3051.02	2.D.1	Required Level of Education	RL	4	47.61	20	14.8545	20.7188	75.9690	N	07/2011	Incumbent
11-3051.02	2.D.1	Required Level of Education	RL	5	2.72	20	2.8732	0.2888	21.3130	N	07/2011	Incumbent
11-3051.02	2.D.1	Required Level of Education	RL	6	14.61	20	12.3434	2.1128	57.5720	N	07/2011	Incumbent
11-3051.02	2.D.1	Required Level of Education	RL	7	4.99	20	4.8947	0.6023	31.3014	N	07/2011	Incumbent
11-3051.02	2.D.1	Required Level of Education	RL	8	0.00	20	0.0000	n/a	n/a	N	07/2011	Incumbent
11-3051.02	2.D.1	Required Level of Education	RL	9	0.00	20	0.0000	n/a	n/a	N	07/2011	Incumbent
11-3051.02	2.D.1	Required Level of Education	RL	10	0.00	20	0.0000	n/a	n/a	N	07/2011	Incumbent
11-3051.02	2.D.1	Required Level of Education	RL	11	0.00	20	0.0000	n/a	n/a	N	07/2011	Incumbent
11-3051.02	2.D.1	Required Level of Education	RL	12	0.00	20	0.0000	n/a	n/a	N	07/2011	Incumbent
11-3051.03	2.D.1	Required Level of Education	RL	1	0.00	23	0.0000	n/a	n/a	N	07/2016	Incumbent
11-3051.03	2.D.1	Required Level of Education	RL	2	14.00	23	7.6610	4.1676	37.8552	N	07/2016	Incumbent
11-3051.03	2.D.1	Required Level of Education	RL	3	0.00	23	0.0000	n/a	n/a	N	07/2016	Incumbent
11-3051.03	2.D.1	Required Level of Education	RL	4	19.13	23	9.7106	6.0489	46.5109	N	07/2016	Incumbent
11-3051.03	2.D.1	Required Level of Education	RL	5	14.83	23	7.2719	5.0090	36.4925	N	07/2016	Incumbent
11-3051.03	2.D.1	Required Level of Education	RL	6	45.44	23	12.1150	23.2163	69.6499	N	07/2016	Incumbent
11-3051.03	2.D.1	Required Level of Education	RL	7	6.60	23	6.5156	0.7823	38.7585	N	07/2016	Incumbent
11-3051.03	2.D.1	Required Level of Education	RL	8	0.00	23	0.0000	n/a	n/a	N	07/2016	Incumbent
11-3051.03	2.D.1	Required Level of Education	RL	9	0.00	23	0.0000	n/a	n/a	N	07/2016	Incumbent
11-3051.03	2.D.1	Required Level of Education	RL	10	0.00	23	0.0000	n/a	n/a	N	07/2016	Incumbent
11-3051.03	2.D.1	Required Level of Education	RL	11	0.00	23	0.0000	n/a	n/a	N	07/2016	Incumbent
11-3051.03	2.D.1	Required Level of Education	RL	12	0.00	23	0.0000	n/a	n/a	N	07/2016	Incumbent
11-3051.04	2.D.1	Required Level of Education	RL	1	0.00	21	0.0000	n/a	n/a	N	08/2020	Incumbent
11-3051.04	2.D.1	Required Level of Education	RL	2	6.83	21	6.8149	0.7781	40.6420	N	08/2020	Incumbent
11-3051.04	2.D.1	Required Level of Education	RL	3	13.23	21	10.2292	2.3213	49.4495	N	08/2020	Incumbent
11-3051.04	2.D.1	Required Level of Education	RL	4	1.75	21	1.3661	0.3402	8.5350	N	08/2020	Incumbent
